species,process,type,threshold_eV,mass_amu,energy_eV,cross_section_m2
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,2.2,2.9e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,2.5,3.3e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,2.8,3.8e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,3.0,4.1e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,3.3,4.5e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,3.6,4.9e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,4.0,5.4e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,4.5,6.1e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,5.0,6.7e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,6.0,8.1e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,7.0,9.6e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,8.0,1.17e-19
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,10.0,1.5e-19
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,12.0,1.45e-19
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,15.0,1.37e-19
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,17.0,1.1e-19
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,20.0,9.2e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,25.0,6.8e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,30.0,5.5e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,50.0,3.2e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,75.0,2.15e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,100.0,1.6e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,150.0,1.1e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,200.0,8.8e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,300.0,6e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,500.0,3.7e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,700.0,2.6e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,1000.0,1.7e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,1500.0,9.8e-22
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,2000.0,6.6e-22
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,3000.0,3.5e-22
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,5000.0,1.5e-22
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,7000.0,8.8e-23
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,10000.0,4.9e-23
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,1000000.0,4.9e-23
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,0.0,0.0
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,11.5,0.0
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,12.7,7e-22
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,13.7,1.41e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,14.7,2.28e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,15.9,3.8e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,16.5,4.8e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,17.5,6.1e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,18.5,7.5e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,19.9,9.2e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,22.2,1.17e-20
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,24.7,1.33e-20
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,27.0,1.42e-20
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,30.0,1.44e-20
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,33.0,1.41e-20
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,35.3,1.34e-20
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,42.0,1.25e-20
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,48.0,1.16e-20
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,52.0,1.11e-20
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,70.0,9.4e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,100.0,7.6e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,150.0,6e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,200.0,5.05e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,300.0,3.95e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,500.0,2.8e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,700.0,2.25e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,1000.0,1.77e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,1500.0,1.36e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,2000.0,1.1e-21
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,3000.0,8.3e-22
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,5000.0,5.8e-22
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,7000.0,4.5e-22
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,10000.0,3.5e-22
Ar,e+Ar=>e+Ars,excitation,11.5,39.948,1000000.0,3.5e-22
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,0.0,0.0
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,15.8,0.0
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,16.0,2.02e-22
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,17.0,1.34e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,18.0,2.94e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,20.0,6.3e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,22.0,9.3e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,23.75,1.15e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,25.0,1.3e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,26.5,1.45e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,30.0,1.8e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,32.5,1.99e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,35.0,2.17e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,37.5,2.31e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,40.0,2.39e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,50.0,2.53e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,55.0,2.6e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,100.0,2.85e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,150.0,2.52e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,200.0,2.39e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,300.0,2e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,500.0,1.45e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,700.0,1.15e-20
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,1000.0,8.6e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,1500.0,6.4e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,2000.0,5.2e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,3000.0,3.6e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,5000.0,2.4e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,7000.0,1.8e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,10000.0,1.35e-21
Ar,e+Ar=>2e+Ar+,ionization,15.8,39.948,1000000.0,1.35e-21
